tinh,huyen,xa,diaban,hoso,matv,sector,income
1,16,433,3,15,4,HomeBusiness,
1,16,433,3,19,1,FarmForestAqua,
1,16,433,3,19,2,FarmForestAqua,
1,16,433,3,19,3,Private,8972
1,16,433,3,19,4,FarmForestAqua,
1,16,433,3,19,5,Foreign,23583
1,16,448,4,13,1,Private,16443
1,16,448,4,13,2,Private,16443
1,16,448,4,13,3,StateRun,20778
1,16,448,4,13,4,,
1,16,448,4,13,5,,
1,16,448,4,13,6,,
1,16,448,4,14,1,FarmForestAqua,
1,16,448,4,14,2,FarmForestAqua,
1,16,448,4,14,3,,
1,16,448,4,14,4,,
1,16,448,4,15,1,FarmForestAqua,
1,16,448,4,15,2,FarmForestAqua,
1,16,448,4,15,3,FarmForestAqua,
1,16,448,4,15,4,,
1,16,448,4,15,5,Private,29252
1,16,448,4,15,6,Private,19549
1,17,454,27,13,1,,
1,17,454,27,13,2,StateRun,84687
1,17,454,27,13,3,,
1,17,454,27,14,1,StateRun,23829
1,17,454,27,14,2,StateRun,21210
1,17,454,27,14,3,,
1,17,454,27,14,4,,
1,17,454,27,15,1,HomeBusiness,
1,17,454,27,15,2,StateRun,22133
1,17,454,27,15,3,,
1,17,454,27,15,4,,
1,17,463,7,13,1,HomeBusiness,22850
1,17,463,7,13,2,HomeBusiness,11471
1,17,463,7,13,3,,
1,17,463,7,13,4,,
1,17,463,7,14,1,FarmForestAqua,
1,17,463,7,14,2,HomeBusiness,
1,17,463,7,14,3,HomeBusiness,12009
1,17,463,7,14,4,,
1,17,463,7,15,1,FarmForestAqua,
1,17,463,7,15,2,FarmForestAqua,
1,17,463,7,15,3,Private,7492
1,17,472,20,13,1,FarmForestAqua,
1,17,472,20,13,2,FarmForestAqua,
1,17,472,20,13,3,Foreign,33546
1,17,472,20,13,4,Foreign,38744
1,17,472,20,13,5,,
1,17,472,20,14,1,Private,30514
1,17,472,20,14,2,Private,26271
1,17,472,20,14,3,,
1,17,472,20,14,4,,
1,17,472,20,15,1,HomeBusiness,
1,17,472,20,15,2,HomeBusiness,
1,17,472,20,15,3,,
1,17,472,20,15,4,,
1,17,484,11,13,1,HomeBusiness,19942
1,17,484,11,13,2,HomeBusiness,16691
1,17,484,11,13,3,,
1,17,484,11,13,4,,
1,17,484,11,14,1,,
1,17,484,11,14,2,StateRun,53085
1,17,484,11,14,3,,
1,17,484,11,14,4,,
1,17,484,11,15,1,FarmForestAqua,
1,17,484,11,15,2,FarmForestAqua,
1,17,484,11,15,3,,
1,17,484,11,15,4,,
1,17,484,11,15,5,,
1,17,484,11,15,6,,
1,17,484,11,15,7,FarmForestAqua,
1,17,493,32,13,1,Foreign,27630
1,17,493,32,13,2,StateRun,51595
1,17,493,32,13,3,,
1,17,493,32,15,1,Foreign,26977
1,17,493,32,20,1,Foreign,22915
1,17,499,4,13,1,FarmForestAqua,
1,17,499,4,13,2,FarmForestAqua,
1,17,499,4,13,3,,
1,17,499,4,14,1,FarmForestAqua,
1,17,499,4,14,2,,
1,17,499,4,15,1,HomeBusiness,8596
1,17,499,4,15,2,,
1,17,499,4,15,3,FarmForestAqua,
1,17,508,14,13,1,HomeBusiness,8666
1,17,508,14,13,2,,
1,17,508,14,13,3,Foreign,30693
1,17,508,14,13,4,,
1,17,508,14,13,5,,
1,17,508,14,14,1,Private,23427
1,17,508,14,14,2,StateRun,26028
1,17,508,14,14,3,,
1,17,508,14,14,4,,
1,17,508,14,19,1,,
1,17,508,14,19,2,,
1,17,523,5,13,1,HomeBusiness,
1,17,523,5,13,2,HomeBusiness,
1,17,523,5,13,3,,
1,17,523,5,14,1,FarmForestAqua,
1,17,523,5,14,2,,
1,17,523,5,14,3,,
1,17,523,5,15,1,,
1,17,523,5,15,2,FarmForestAqua,
1,17,523,5,15,3,HomeBusiness,32700
1,17,523,5,15,4,StateRun,44261
1,17,523,5,15,5,,
1,18,535,25,13,1,HomeBusiness,
1,18,535,25,13,2,HomeBusiness,
1,18,535,25,13,3,HomeBusiness,
1,18,535,25,13,4,HomeBusiness,
1,18,535,25,13,5,HomeBusiness,
1,18,535,25,13,6,,
1,18,535,25,14,1,,
1,18,535,25,14,2,HomeBusiness,5423
1,18,535,25,20,1,,
1,18,535,25,20,2,,
1,18,553,14,13,1,,
1,18,553,14,13,2,StateRun,26743
1,18,553,14,13,3,StateRun,34785
1,18,553,14,13,4,,
1,18,553,14,13,5,,
1,18,553,14,15,1,HomeBusiness,24956
1,18,553,14,15,2,HomeBusiness,
1,18,553,14,15,3,FarmForestAqua,
1,18,553,14,15,4,,
1,18,553,14,15,5,StateRun,41707
1,18,553,14,19,1,StateRun,17293
1,18,553,14,19,2,FarmForestAqua,
1,18,553,14,19,3,Private,25285
1,18,553,14,19,4,StateRun,26260
1,18,553,14,19,5,,
1,18,553,14,19,6,,
1,18,574,2,13,1,StateRun,54796
1,18,574,2,13,2,StateRun,48182
1,18,574,2,13,3,,
1,18,574,2,13,4,,
1,18,574,2,14,1,FarmForestAqua,
1,18,574,2,14,2,FarmForestAqua,
1,18,574,2,14,3,Foreign,37443
1,18,574,2,14,4,Foreign,27954
1,18,574,2,14,5,,
1,18,574,2,15,1,FarmForestAqua,
1,18,574,2,15,2,FarmForestAqua,
1,18,574,2,15,3,,
1,18,574,2,15,4,,
1,19,592,6,13,1,,
1,19,592,6,13,2,,
1,19,592,6,13,3,Private,50423
1,19,592,6,13,4,Private,50423
1,19,592,6,13,5,Private,32823
1,19,592,6,13,6,,
1,19,592,6,14,1,,
1,19,592,6,14,2,,
1,19,592,6,14,3,Private,
1,19,592,6,14,4,Private,57093
1,19,592,6,14,5,,
1,19,592,6,14,6,,
1,19,592,6,19,1,,
1,19,592,6,19,2,,
1,19,592,6,19,3,StateRun,36166
1,19,592,6,19,4,,
1,19,592,6,19,5,,
1,19,592,6,19,6,,
